TIPO_NOM,CLV_DIP,NOM_DIP,PERC_DED,GRAV_NG,GRAV_LOC,GRAV_EST,TOPE_NG,INCIDENCIA,CLV_SALDO,SEC_CALC,TOPE_CLV,TOPE_CANT,TOPE_TIPO,VAL_PAR1_TIPO,VAL_PAR1_DESDE,VAL_PAR1_HASTA,VAL_PAR1_DEC,VAL_PAR1_DEF,VAL_PAR2_TIPO,VAL_PAR2_DESDE,VAL_PAR2_HASTA,VAL_PAR2_DEC,VAL_PAR2_DEF,VAL_PAR3_TIPO,VAL_PAR3_DESDE,VAL_PAR3_HASTA,REDONDEO_IMP,REDONDEO_DATO,FORMULA,FORMULA_PRES,FORMULA_FINI,FORMULA_AVANZADA,IMPRIMIR,APLICA_PENSION,BANDERA_FORMULA,BANDERA_NIVEL,DESC_RECIBOS,DIP_SALDOS,SUMA_RESTA_SALDOS,TRANSACCIONES
@,AYVC,AYUDA VIDA CARA,P,GN,1,1,0,0,1,25,N,,,O,0,0,1,0,R,0,0,1,0,O,,,0,0,"IF PARM1 > 0 THENûIMPORTE = PARM1ûEND ELSEûMONTOS=""""ûMONTOS<1,-1>=""01"" ;  MONTOS<2,-1>=""10.00""ûMONTOS<1,-1>=""02"" ;  MONTOS<2,-1>=""12.00""ûMONTOS<1,-1>=""03"" ;  MONTOS<2,-1>=""15.00""ûFDPAGO=REG_EMP<AN_EMP.F_DIST_PAGO%>ûLOCATE FDPAGO IN MONTOS<1> USING @VM SETTING POS THENû   IMPORTE = MONTOS<2,POS>ûEND ELSEû   Importe = 0ûENDûEND",,,1,1,0,1,,,,,
@,@DFP,SAR APORTACION VOLUNTARIA,D,NI,0,0,0,1,0,750,N,,,R,0,0,1,0,O,0,0,1,0,O,,,0,0,Importe = PARM1ûDato = PARM2,Importe =  @SFP * @DA1,,0,1,0,1,,,,,
@,@CFI,CUOTA PATRONAL FIJA DE ENF Y MAT ,X,NI,0,0,0,0,0,650,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"IF PARM2 NE """" AND PARM2 NE 0 THEN IMPORTE= PARM2; DATO= PARM1; RETURNûûFINIPER_EXT =  FECHA(FINIPER,2,""AAAAMMDD"")    ûCALL TABLAS_IMSS(CLV_DIP, ZONA_ECO, FINIPER_EXT, PORCENTAJE, IMP_TOPE, IMP_TOPE_EXE, FALTAS,INCAPACIDADES, STATUS)ûDIAS= DIAS_PER+DIPM(""DADI"",""DA"")ûDIAS.IMSS= DIPC(""@IMS"",""TP1"")ûûIF DIAS.IMSS > 0 THEN DIAS= DIAS.IMSSûûLOCATE ""####"" IN INCAPACIDADES USING @VM SETTING POS.RESTA ELSE POS.RESTA-=1ûFOR II= 1 TO POS.RESTAû RESTA= DIPC(INCAPACIDADES<1,II>,""TP1"")û DIAS= DIAS - RESTAûNEXT IIûûNUM_FALTAS= 0ûFALTAS_MES= 0ûLOCATE ""####"" IN FALTAS USING @VM SETTING POS.RESTA ELSE POS.RESTA-=1ûFOR II= 1 TO POS.RESTAû NUM_FALTAS+= DIPC(FALTAS<1,II>,""TP1"")û FALTAS_MES+= DIPA(FALTAS<1,II>,""DA"",EJ_FISCAL%:MES_BASE,EJ_FISCAL%:MES_BASE)ûNEXT IIûûIF FALTAS_MES >= 7 THENû NUM_FALTAS= 0ûEND ELSEû IF FALTAS_MES + NUM_FALTAS > 7 THENû  NUM_FALTAS= 7 - FALTAS_MESû ENDûENDûDIAS-= NUM_FALTASûIF DIAS<0 THEN DIAS=0ûIMPORTE= IMP_TOPE * PORCENTAJE * DIASûDATO= DIAS",,,1,0,0,1,,,,,
@,IVAL,INTEGRACION DE VALE DESPENSA,X,NI,0,0,0,1,0,101,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,"RETURNû*****************ûVALOR_GRAL= 1300û*****************ûVALOR_DIRS= 2262û*****************ûûDECLARE FUNCTION GET_PROPERTYûû*IF @USERNAME = ""MANAGER_NOM"" THEN DEBUGûûCATEGORIA= REG_EMP<AN_EMP.CATEGORIA%>ûIF CATEGORIA = """" THEN CATEGORIA= GET_PROPERTY(@WINDOW:"".CATEGORIA"",""TEXT"")ûûIF CATEGORIA+0 <= 3.1 THENû *categorias Director o Superiorû VALOR= VALOR_DIRS/30ûEND ELSEû *categorias inferiores a Directorû VALOR= VALOR_GRAL/30ûENDûûIF FTERPER = """" THEN FTERPER= DATE()ûFTERPER_EXT= FECHA(FTERPER,2,""AAAAMMDD"")ûTOPE_VALES= SALARIOMINIMO(""UM"",FTERPER_EXT) * 0.4ûûIF VALOR > TOPE_VALES THEN IMPORTE= VALOR - TOPE_VALES",,,1,1,0,1,,,,,
@,HRTR,TIEMPO EXTRA TRIPLE,P,GN,1,1,0,1,0,30,N,,,R,0,0,1,0,O,0,0,1,0,O,,,0,0,"IF PARM2+0 <> 0 THEN IMPORTE= PARM2; DATO= PARM1; RETURNûû$INSERT AN_TIPOSûûHRS_TRI= 0ûHRS_EXT= DIPC(""4306"",""TP1"")ûIF HRS_EXT > 0 THENû PERIODICIDAD= REG_TIPO<AN_TIPOS.PERIODICIDAD%>û û BEGIN CASEû  CASE PERIODICIDAD = ""S""; TOPE= 9û  CASE PERIODICIDAD = ""Q""; TOPE= 18û  CASE PERIODICIDAD = ""M""; TOPE= 36û  CASE 1; TOPE= 18û END CASEû û IF HRS_EXT > TOPE THEN HRS_TRI= HRS_EXT - TOPE ELSE HRS_TRI= 0ûENDûHRS_TRI+= PARM1ûûIMPORTE= HRS_TRI * SDI@/8 * 3ûDATO= HRS_TRI",,,1,1,0,1,,,,,
@,@ISR,IMPUESTO CAUSADO,X,NI,0,0,0,1,0,645,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,,,,0,1,0,0,,,,,
@,SOBR,SOBREGIRO,P,GN,1,0,0,0,0,900,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,Importe = PARM1,,,0,1,0,1,,,,,
@,@PGE,TOTAL PERC GRAVABLE EXTRAORDINARIA,X,NI,0,0,0,0,0,991,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,,Importe =  @SDI / 8 * @DA1 * 2,,0,0,0,0,,,,,
@,@BOV,VIATICOS GRAVABLES,P,GN,0,,0,1,0,700,N,,,O,0,0,1,0,O,0,0,0,0,O,,,0,0,Importe = PARM1,,,0,1,0,1,,,,,
@,@INF,APORTACION AL INFONAVIT,E,NI,0,0,0,0,0,658,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"* Version con salario integrado actual fijo y faltas de las incidenciasûANO.PER = EJ_FISCAL%ûSDI = REG_EMP<AN_EMP.SAL_DIA_INFO%> / 100ûZONA.ECO = ""IN""  ;  FTERPER_EXT =FECHA(FTERPER,2,""AAAAMMDD"")û CALL TABLAS_IMSS(""@INF"", ZONA.ECO, FTERPER_EXT, PORCENTAJE, IMP_TOPE, IMP_TOPE_EXE, FALTAS,INCAPACIDADES, STATUS)û     GOSUB P.410.DIAS.TRAû     IF SDI > IMP_TOPE THEN  SDI = IMP_TOPEû     IMPORTE = SDI * PORCENTAJE * DIASû     DATO       = DIASû RETURNû********************ûP.410.DIAS.TRA:û********************û    DIAS          = DIAS_PERû    DIAS.IMSS = DIPC(""@IMS"",""P1"")û    IF DIAS.IMSS > 0 THEN DIAS = DIAS.IMSSû    IF PARM1 > 0 THENû       DIAS = PARM1û    ENDû    LOCATE  ""####""  IN FALTAS USING @VM SETTING POS.RESTA ELSE POS.RESTA-=1  û    FALTAS.MES = 0û    FOR II = 1 TO POS.RESTAû        DIPFALTA = FALTAS<1,II>û        ** JFHO 3MAR2025û        FALTAS.MES = FALTAS.MES + DIPA(DIPFALTA,""DA"",ANO.PER:MES_BASE,ANO.PER:MES_BASE)û    NEXT IIû    RESTA = DIPC(DIPFALTA,""TP1"")û    ** JFHO 3MAR2025û    IF FALTAS.MES > 7 THENû         RESTA = 0û    END ELSEû        IF (FALTAS.MES + RESTA ) > 7 THENû            RESTA1 = (FALTAS.MES + RESTA ) - 7 û            RESTA = RESTA1û        ENDû     ENDû     **û     DIAS  = DIAS - RESTAû     IF DIAS  < 0 THEN DIAS =0û RETURNû",Importe =  @SDI / 8 * @DA1 * 2,,1,0,0,1,,,,,
